% Coordinates of events in WikiLeaks Afghan War Diary
% Longitude, Latitude, Day number (starting from 1st January 2004)

67.498,32.089,254
71.361,35.037,254
65.257,34.524,254
62.196,34.347,254
69.94,33.338,254
67.118,31.674,255
67.767,32.814,255
69.219,33.146,255
62.199,34.349,256
65.563,32.941,256
62.195,34.384,256
68.793,33.145,256
62.196,34.349,256
65.756,31.614,256
67.761,33.844,257
69.698,34.806,257
64.272,34.941,257
65.449,34.746,257
69.271,33.186,257
71.193,34.811,257
71.157,34.891,257
68.519,33.412,257
65.567,32.943,257
68.632,33.297,258
67.155,32.048,258
68.378,33.561,258
65.806,31.552,259
65.856,31.483,259
65.548,32.643,259
70.735,34.969,259
69.287,34.987,259
70.167,34.507,260
69.228,33.6,260
67.645,31.908,260
62.224,34.375,260
70.157,33.242,261
70.449,34.411,261
65.826,33.363,261
69.36,32.886,261
71.7,35.65,261
67.195,32.943,262
65.794,31.629,262
66.666,32.413,262
66.559,32.429,262
65.926,32.672,262
66.559,32.429,263
67.298,32.869,263
66.573,32.424,263
71.368,35.221,263
67.992,35.259,263
65.926,32.672,264
70.183,34.293,264
65.926,32.67,264
69.39,32.66,264
71.545,35.414,264
68.103,33.194,264
66.549,32.456,264
65.434,32.929,264
67.501,31.883,264
69.206,34.004,264
65.563,32.941,264
68.449,32.856,264
69.154,36.689,264
69.391,32.659,265
68.424,33.542,265
61.513,32.302,265
69.329,34.958,265
65.548,32.642,265
69.398,34.871,265
70.155,33.264,265
67.357,31.733,265
68.869,34.397,265
67.363,31.979,266
71.209,34.811,266
69.337,34.963,266
69.155,32.934,266
69.331,34.954,266
66.658,32.924,266
67.285,32.022,267
70.483,34.383,267
65.464,32.643,267
69.384,32.459,268
65.873,32.632,268
69.488,32.934,268
68.368,32.188,268
69.195,32.538,268
70.902,34.985,268
62.222,34.373,268
68.794,33.186,268
69.804,33.328,269
65.436,32.931,269
69.486,33.006,270
69.063,33.559,270
71.213,34.777,270
68.362,32.193,270
68.853,34.399,270
69.455,32.932,271
69.309,32.927,271
69.303,34.941,271
69.402,32.728,271
62.188,34.346,271
68.436,33.563,271
66.587,32.563,272
69.009,33.046,272
71.524,35.21,272
69.139,34.579,272
62.147,33.167,272
65.891,32.603,272
65.891,32.603,272
62.472,32.628,273
67.03,32.099,273
65.716,31.622,273
65.751,31.635,273
65.749,31.616,273
68.856,36.724,273
69.815,33.804,273
69.252,33.347,274
67.245,32.083,274
69.07,33.483,274
66.542,32.63,274
70.339,34.259,274
69.052,33.456,274
69.301,34.941,274
69.907,33.331,274
70.619,34.162,274
68.413,33.531,274
69.018,34.038,275
68.362,32.194,275
69.3,34.972,275
69.113,32.749,275
68.787,33.172,275
67.206,32.874,275
67.197,33.515,276
65.752,31.635,276
69.487,33.007,276
66.277,31.178,277
70.024,33.151,277
69.488,32.934,277
66.23,31.171,277
68.562,32.82,277
